"title","variant","originally released","director","actors/0","actors/1","actors/2","actors/3","genre/0","genre/1","condition","poster_type","poster_size","thumbnail","hires","price","film_summary","poster_notes","tags/0","gallery/0","sort_title","on_sale","purchase_date","genre/2","genre/3","actors/4","actors/5","actors/6","tags/1","tags/2","tags/3","tags/4","tags/5","tags/6","tags/7","tags/8","tags/9","actors/7","genre/4","p","actors/8","actors/9","actors/10","actors/11","actors/12","actors/13","actors/14","actors/15","actors/16","genre/5","gallery/1","gallery/2","tags/10","tags/11","tags/12","tags/13","payment_link","product_id"
"ABBA - THE MOVIE","","1977","Lasse Hallström","Anni-Frid Lyngstad","Benny Andersson","Björn Ulvaeus","Agnetha Fältskog","music","documentary","Near mint, folded.","quad","30 x 40 inches","posters-thumb/abba-the-movie-quad-poster.jpg","posters/abba-the-movie-quad-poster.jpg","129.99","Directed by Lasse Hallström, this 1977 documentary stars Agnetha Fältskog, Anni-Frid Lyngstad, Benny Andersson and Björn Ulvaeus. Capturing the iconic Swedish band at the height of their fame, it offers an intimate look at their music and tours, making it a must for fans of pop history.","This iconic poster features the legendary Swedish band.","39.99","posters/abba-the-movie-quad-poster.jpg","ABBA - THE MOVIE","false","2020-08-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_5kQ6oG2DSeG2euUaMecjS3Y","prod_TikF6rCmmxtNAr"
"THE ABYSS","","1989","James Cameron","Ed Harris","Mary Elizabeth","Michael Biehn","","adventure","","Near mint rolled condition","quad","30 x 40 inches","posters-thumb/the-abyss-quad-poster.jpg","posters/the-abyss-quad-poster.jpg","89.99","James Cameron's 1989 underwater adventure classic The Abyss, starring Ed Harris, Mary Elizabeth Mastrantonio and Michael Biehn.","This main poster re-release poster is increasingly hard to find.","19.99","posters/the-abyss-quad-poster.jpg","ABYSS","false","2022-08-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_bJeaEW5Q49lIeuUdYqcjS3Z","prod_TikFZEN9OULV4Y"
"AKIRA","2021 4K re-release","1988","Katsuhiro Ôtomo","Mitsuo Iwata","Nozomu Sasaki","Mami Koyama","","action","animation","Near mint rolled condition","quad","30 x 40 inches","posters-thumb/akira-quad-poster.jpg","posters/akira-quad-poster.jpg","159.99","Limited re-release cinema quad poster for Katsuhiro Ôtomo's 1988 classic sci-fi action animation Akira, starring Mitsuo Iwata, Nozomu Sasaki and Mami Koyama.","This beautifully designed artwork for the 4k re-release is absolutely stunning, making this very rare and highly sought after. This version has some very minor handling wear.","33.99","posters/akira-quad-poster.jpg","AKIRA","false","2020-12-26","sci-fi","fantasy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_fZuaEWemAeG2euU4nQcjS40","prod_TikF8pW1eYB7XZ"
"ALIEN³","","1992","David Fincher","Sigourney Weaver","Charles S. Dutton","Charles Dance","Brian Glover","action","horror","Near mint rolled condition","quad","30 x 40 inches","posters-thumb/alien-3-quad-poster.jpg","posters/alien-3-quad-poster.jpg","79.99","British 30 x 40 inch cinema quad poster for David Fincher's dark, atmospheric and highly underrated 1992 feature debut Alien³ starring Sigourney Weaver, Charles S. Dutton, Charles Dance, Brian Glover, Ralph Brown, Paul McGann, Danny Webb and Lance Henriksen.","Unlike most versions of this poster that were printed on modern gloss paper, this one has been printed on traditional quad paper stock of the pre-90's.","rolled","posters/alien-3-quad-poster.jpg","ALIEN 3","false","","sci-fi","","Ralph Brown","Paul McGann","Lance Henriksen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_5kQ3cudiw1TgfyYbQicjS41","prod_TikFCaHYcfo2ue"
"AMORES PERROS","","2001","Alejandro Gonzalez Inarritu","Emilio Echevarria","Gael Garcia Bernal","Goya Toledo","","drama","thriller","Near mint rolled","quad","30 x 40 inch","posters-thumb/amores-perros-quad-poster.jpg","posters/amores-perros-quad-poster.jpg","27.99","Alejandro Gonzalez Inarritu's brilliant 2001 drama Amores Perros, interwines three stories around a single car crash, starring Emilio Echevarria, Gael Garcia Bernal and Goya Toledo.","This film poster has some minor edge wear.","2001","posters/amores-perros-quad-poster.jpg","AMORES PERROS","true","","","","","","","Unknown","Emilio Echevarria","Gael Garcia Bernal","Goya Toledo","Alejandro Gonzalez Inarritu","near","mint","rolled","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_bJe8wOfqEapM3Qg7A2cjS42","prod_TikFnhWHbplwPY"
"ANGEL-A","","2005","Luc Besson","Jamel Debbouze","Rie Rasmussen","","","drama","fantasy","near mint rolled condition","quad","30 x 40 inches","posters-thumb/angel-a.jpg","posters/angel-a-quad-poster.jpg","64.99","Luc Besson's underrated and relatively unknown 2005 fantasy drama Angel-A, starring Jamel Debbouze and Rie Rasmussen.
This hard to find poster has an amazing black and white image and is in Near mint rolled condition except for some light roll creasing running along the bottom of the poster.","","2005","posters/angel-a.jpg","ANGEL-A","false","","","","","","","drama","fantasy","Jamel Debbouze","Luc Besson","Rie Rasmussen","rolled","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_cNi4gy7Yc8hE1I807AcjS43","prod_TikFJTaReuq01H"
"APOCALYPSE NOW - FINAL CUT","40th anniversary 4K restoration re-release","1979","Francis Ford Coppola","Marlon Brando","Martin Sheen","Robert Duvall","Laurence Fishburne","war","period drama","near mint condition","quad","30 x 40 inches","posters-thumb/apocalypse-now-final-cut-r-quad-poster.jpg","posters/apocalypse-now-final-cut-r-quad-poster.jpg","149.99","British 30 x 40 inch 40th anniversary final cut re-release quad poster for Francis Ford Coppola's 1979 classic war film Apocalypse Now  starring Marlon Brando, Martin Sheen, Robert Duvall, Laurence Fishburne, Dennis Hopper and Harrison Ford.This clever and amazingly stylised poster design stands out from all the many previous re-release posters and is highly sought after. This version is in near mint condition.","","51.54","posters/apocalypse-now-final-cut-r-quad-poster.jpg","APOCALYPSE NOW - FINAL CUT","false","2020-08-18","","","Dennis Hopper","Harrison Ford","","folded","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_9B68wOdiw55scmM07AcjS44","prod_TikFhvSwdvO962"
"APOCALYPSE NOW - REDUX","2001 Director's Cut re-release","1979","Francis Ford Coppola","Marlon Brando","Martin Sheen","Robert Duvall","Laurence Fishburne","war","period drama","near mint condition","quad","30 x 40 inches","posters-thumb/apocalypsenowredux.jpg","posters/apocalypse-now-redux-quad-poster.jpg","69.99","British 30 x 40 inch re-release quad poster for Francis Ford Coppola's 1979 classic war film Apocalypse Now  starring Marlon Brando, Martin Sheen, Robert Duvall, Laurence Fishburne, Dennis Hopper and Harrison Ford.This poster has fantastic artwork and is in near mint condition.","","1979","posters/apocalypsenowredux.jpg","APOCALYPSE NOW - REDUX","false","","","","Dennis Hopper","Harrison Ford","","Francis Ford Coppola","Marlon Brando","Martin Sheen","war","folded","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_00weVc5Q42Xk3Qg2fIcjS45","prod_TikFT0mXsqazhf"
"APOCALYPSE NOW","2011 re-release","1979","Francis Ford Coppola","Marlon Brando","Martin Sheen","Robert Duvall","Laurence Fishburne","war","period drama","mint condition","quad","30 x 40 inches","posters-thumb/apocalypse_2011_poster.jpg","posters/apocalypse-now-2011-r-quad-poster.jpg","89.99","British 30 x 40 inch 2011 re-release quad poster for Francis Ford Coppola's 1979 classic war film Apocalypse Now, starring Marlon Brando, Martin Sheen, Robert Duvall, Laurence Fishburne, Dennis Hopper and Harrison Ford. This poster is even more captivating than the previous re-release poster and is in mint condition.","","2011","posters/apocalypse_2011_poster.jpg","APOCALYPSE NOW","false","","","","Dennis Hopper","Harrison Ford","","Francis Ford Coppola","Marlon Brando","Martin Sheen","war","folded","","","","","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_dRmbJ00vK8hEdqQaMecjS46","prod_TikFx4EFMJfHnk"
"ATTACK THE BLOCK","","2011","Joe Cornish","John Boyega","Jodie Whittaker","Alex Esmail","Nick Frost","sci-fi","action","near mint rolled","quad","30 x 40 inch","posters-thumb/attack-the-block-quad-poster.jpg","posters/attack-the-block-quad-poster.jpg","27.99","Joe Cornish's 2011 debut sci-fi action comedy Attack The Block, starring John Boyega, Jodie Whittaker, Alex Esmail and Nick Frost.","This film poster is in near mint rolled condition.","2011","posters/attack-the-block-quad-poster.jpg","ATTACK THE BLOCK","true","","","","","","","Sci-Fi Action","John Boyega","Jodie Whittaker","Alex Esmail","Nick Frost","Joe Cornish","near","mint","rolled","","","","","","","","","","","","","","","","","","","","https://buy.stripe.com/test_6oUcN4a6k41o2Mc9IacjS47","prod_TikFba1rSA5EIL"
